iter	Passed	Remaining
0	43	43869
1	88	44381
2	130	43446
3	175	43728
4	219	43669
5	269	44679
6	316	44834
7	361	44840
8	407	44852
9	452	44765
10	495	44578
11	542	44691
12	590	44862
13	635	44781
14	682	44785
15	726	44666
16	769	44477
17	820	44744
18	864	44659
19	909	44575
20	975	45472
21	1020	45374
22	1066	45318
23	1137	46257
24	1183	46164
25	1229	46072
26	1282	46227
27	1334	46325
28	1379	46185
29	1424	46059
30	1469	45919
31	1514	45811
32	1562	45773
33	1607	45660
34	1653	45576
35	1697	45459
36	1738	45260
37	1785	45191
38	1829	45087
39	1874	44989
40	1917	44842
41	1960	44722
42	2003	44581
43	2044	44415
44	2088	44325
45	2134	44276
46	2187	44346
47	2231	44254
48	2276	44181
49	2323	44142
50	2379	44269
51	2425	44223
52	2470	44140
53	2519	44140
54	2568	44127
55	2615	44090
56	2662	44046
57	2709	44001
58	2759	44005
59	2806	43965
60	2850	43883
61	2897	43836
62	2947	43831
63	3011	44048
64	3060	44025
65	3128	44275
66	3182	44311
67	3238	44385
68	3285	44326
69	3328	44219
70	3373	44143
71	3419	44073
72	3475	44128
73	3521	44062
74	3566	43992
75	3612	43921
76	3668	43978
77	3714	43902
78	3759	43832
79	3804	43756
80	3850	43685
81	3895	43610
82	3945	43585
83	3990	43515
84	4041	43501
85	4087	43443
86	4133	43376
87	4182	43348
88	4227	43271
89	4271	43187
90	4328	43238
91	4383	43261
92	4455	43448
93	4521	43577
94	4573	43572
95	4624	43551
96	4669	43473
97	4713	43387
98	4756	43288
99	4797	43180
100	4844	43116
101	4885	43015
102	4929	42930
103	4970	42821
104	5015	42752
105	5060	42681
106	5119	42722
107	5167	42678
108	5214	42622
109	5271	42647
110	5315	42572
111	5359	42490
112	5405	42431
113	5452	42379
114	5500	42326
115	5550	42297
116	5599	42257
117	5643	42181
118	5684	42085
119	5733	42045
120	5786	42033
121	5830	41958
122	5875	41890
123	5917	41804
124	5967	41769
125	6015	41726
126	6058	41649
127	6103	41577
128	6148	41513
129	6193	41445
130	6233	41348
131	6277	41282
132	6324	41227
133	6372	41183
134	6415	41108
135	6462	41054
136	6505	40978
137	6550	40915
138	6597	40868
139	6646	40828
140	6692	40771
141	6734	40688
142	6776	40609
143	6822	40557
144	6867	40491
145	6915	40450
146	6961	40392
147	7002	40309
148	7046	40246
149	7095	40210
150	7152	40213
151	7198	40160
152	7243	40101
153	7289	40046
154	7334	39987
155	7379	39923
156	7421	39849
157	7465	39782
158	7509	39720
159	7557	39674
160	7601	39615
161	7646	39551
162	7696	39521
163	7744	39475
164	7789	39419
165	7846	39420
166	7897	39395
167	7944	39343
168	7998	39330
169	8042	39267
170	8086	39205
171	8128	39132
172	8173	39069
173	8213	38992
174	8257	38929
175	8302	38872
176	8347	38813
177	8390	38746
178	8431	38670
179	8474	38606
180	8518	38547
181	8563	38489
182	8607	38427
183	8649	38358
184	8692	38292
185	8733	38219
186	8779	38168
187	8826	38123
188	8880	38105
189	8929	38069
190	8972	38005
191	9014	37935
192	9062	37894
193	9120	37892
194	9173	37870
195	9217	37810
196	9264	37764
197	9318	37742
198	9364	37694
199	9409	37638
200	9457	37596
201	9506	37555
202	9548	37486
203	9607	37489
204	9664	37480
205	9723	37476
206	9780	37468
207	9829	37429
208	9876	37381
209	9928	37350
210	9967	37271
211	10022	37252
212	10068	37200
213	10119	37167
214	10168	37126
215	10214	37073
216	10261	37027
217	10310	36985
218	10357	36938
219	10402	36882
220	10445	36818
221	10488	36757
222	10533	36702
223	10580	36652
224	10634	36630
225	10676	36564
226	10720	36507
227	10761	36438
228	10803	36373
229	10847	36316
230	10891	36256
231	10934	36196
232	10991	36183
233	11041	36143
234	11104	36149
235	11161	36133
236	11215	36108
237	11273	36092
238	11323	36056
239	11367	35997
240	11415	35950
241	11464	35908
242	11514	35870
243	11557	35810
244	11602	35753
245	11646	35697
246	11690	35640
247	11733	35579
248	11777	35522
249	11818	35455
250	11873	35431
251	11918	35376
252	11960	35313
253	12004	35256
254	12065	35250
255	12120	35223
256	12184	35224
257	12234	35186
258	12284	35145
259	12329	35091
260	12371	35029
261	12417	34978
262	12462	34922
263	12505	34863
264	12547	34801
265	12591	34745
266	12655	34743
267	12707	34708
268	12754	34660
269	12800	34607
270	12848	34562
271	12907	34546
272	12977	34558
273	13058	34599
274	13140	34643
275	13212	34657
276	13284	34674
277	13357	34690
278	13425	34695
279	13491	34693
280	13556	34686
281	13626	34695
282	13723	34769
283	13844	34902
284	13917	34916
285	13965	34865
286	14026	34845
287	14078	34804
288	14132	34769
289	14178	34712
290	14232	34676
291	14290	34650
292	14351	34629
293	14398	34575
294	14442	34515
295	14493	34471
296	14540	34418
297	14592	34375
298	14640	34324
299	14683	34261
300	14725	34196
301	14770	34137
302	14812	34074
303	14864	34031
304	14909	33974
305	14957	33923
306	15007	33876
307	15069	33857
308	15122	33816
309	15175	33778
310	15222	33723
311	15266	33665
312	15310	33604
313	15358	33553
314	15399	33486
315	15448	33439
316	15494	33383
317	15575	33403
318	15664	33439
319	15728	33423
320	15789	33398
321	15843	33360
322	15890	33306
323	15939	33257
324	15982	33195
325	16028	33138
326	16068	33070
327	16118	33023
328	16164	32968
329	16212	32915
330	16257	32858
331	16306	32809
332	16348	32745
333	16397	32696
334	16444	32644
335	16495	32598
336	16539	32538
337	16584	32481
338	16627	32421
339	16672	32363
340	16715	32302
341	16760	32247
342	16810	32199
343	16857	32146
344	16902	32090
345	16949	32037
346	16989	31972
347	17034	31915
348	17088	31875
349	17132	31817
350	17174	31755
351	17215	31692
352	17258	31632
353	17299	31568
354	17342	31509
355	17387	31453
356	17431	31396
357	17477	31342
358	17518	31279
359	17562	31221
360	17605	31162
361	17647	31102
362	17690	31043
363	17736	30989
364	17779	30930
365	17826	30880
366	17867	30817
367	17911	30761
368	17956	30705
369	18000	30649
370	18049	30600
371	18090	30539
372	18135	30484
373	18175	30421
374	18215	30359
375	18258	30301
376	18301	30243
377	18346	30188
378	18391	30134
379	18437	30081
380	18481	30026
381	18535	29986
382	18588	29945
383	18639	29900
384	18687	29850
385	18730	29794
386	18778	29744
387	18831	29702
388	18882	29658
389	18926	29603
390	18971	29548
391	19026	29509
392	19083	29475
393	19129	29422
394	19173	29366
395	19220	29315
396	19265	29262
397	19317	29219
398	19368	29173
399	19422	29133
400	19469	29083
401	19518	29035
402	19559	28974
403	19600	28915
404	19644	28860
405	19688	28805
406	19732	28750
407	19773	28690
408	19816	28635
409	19860	28580
410	19904	28525
411	19960	28486
412	20021	28456
413	20080	28422
414	20140	28390
415	20192	28346
416	20236	28292
417	20280	28236
418	20322	28180
419	20369	28128
420	20412	28073
421	20458	28021
422	20500	27964
423	20544	27909
424	20585	27851
425	20626	27791
426	20670	27737
427	20721	27692
428	20777	27655
429	20835	27618
430	20899	27591
431	20953	27550
432	21002	27502
433	21048	27450
434	21096	27400
435	21146	27354
436	21193	27304
437	21252	27269
438	21298	27217
439	21341	27162
440	21386	27108
441	21429	27053
442	21469	26994
443	21522	26950
444	21576	26909
445	21623	26859
446	21665	26803
447	21711	26751
448	21774	26720
449	21856	26713
450	21934	26700
451	21999	26671
452	22061	26639
453	22111	26592
454	22156	26538
455	22199	26483
456	22244	26430
457	22296	26386
458	22341	26333
459	22381	26274
460	22424	26219
461	22465	26161
462	22510	26108
463	22556	26057
464	22609	26012
465	22670	25978
466	22745	25959
467	22834	25956
468	22914	25944
469	22971	25904
470	23017	25852
471	23071	25808
472	23114	25752
473	23155	25695
474	23203	25645
475	23250	25594
476	23298	25545
477	23339	25488
478	23389	25440
479	23437	25391
480	23492	25348
481	23537	25295
482	23588	25248
483	23641	25205
484	23690	25155
485	23739	25106
486	23785	25055
487	23826	24998
488	23875	24949
489	23928	24905
490	23969	24848
491	24018	24799
